,Title,Published_date,Views,Likes,Comments,month
237,Zara Larsson - Rooftop (Official Lyric Video),2014-09-17,124160,804,82,Sep
238,Zara Larsson - Behind The Scenes of Talang,2014-07-02,38643,522,17,Jul
239,Zara Larsson - Carry You Home (Official Music Video),2014-05-13,3642419,29677,824,May
240,Zara Larsson - Carry You Home (Official Music Video),2014-05-13,39462344,268474,7451,May
241,"Zara Larsson - Behind The Scenes, pt 2",2014-05-08,97653,948,32,May
242,"Zara Larsson - Behind the scenes, Nobel & P3 Guld",2014-04-16,110575,1113,59,Apr
243,Zara Larsson - Bad Boys (TODAY Remix) [Video],2013-12-17,234051,2828,79,Dec
244,Zara Larsson - Bad Boys (TODAY Remix),2013-12-17,199907,810,34,Dec
245,Zara Larsson - Bad Boys (TODAY Remix) Lyric Video,2013-12-16,62202,366,4,Dec
246,Zara Larsson - Bad Boys (Official Music Video),2013-11-06,3223205,12552,1184,Nov
247,Zara Larsson - Bad Boys (Official Video),2013-10-29,29958473,235335,5761,Oct
248,Zara Larsson - Love Again (Video),2013-06-27,3047626,19483,841,Jun
249,Zara Larsson - She's Not Me (Pt.2) [Official Video],2013-06-17,1126847,13785,874,Jun
250,Zara Larsson - She's Not Me (Pt.1) [Official Video],2013-03-27,3508023,33069,2147,Mar
251,Zara Larsson - Uncover (Callaway & Rosta / Official Remix),2013-03-21,280744,2558,188,Mar
252,Zara Larsson - Under My Shades (Official Video),2013-01-25,2212827,14897,1425,Jan
253,Zara Larsson - When Worlds Collide (Teaser),2013-01-07,441113,4171,484,Jan
254,Zara Larsson - Uncover (Introducing EP / 2013),2012-12-09,10898960,103387,12212,Dec
255,Rihanna - Stay (Cover) by Zara Larsson,2012-11-27,2183770,24765,1928,Nov
